reaction,name,schemaClass,module
R-HSA-844618,dsDNA:AIM2:ASC cluster binds procaspase-1,Reaction,Immune System
R-HSA-844620,dsDNA:AIM2 clusters bind ASC,Reaction,Immune System
R-HSA-874079,AIM2 oligomerizes,Polymerisation,Immune System
R-HSA-844619,AIM2 binds dsDNA,Reaction,Immune System
R-HSA-844612,PYCARD recruits procaspase-1 via CARD,Reaction,Immune System
R-HSA-844610,NLRP3 recruits PYCARD (ASC) via a PYD-PYD interaction,Reaction,Immune System
R-HSA-1296421,NLRP3 oligomerizes via NACHT domains,Polymerisation,Immune System
R-HSA-844440,NLRP3 activation by elicitor proteins,BlackBoxEvent,Immune System
R-HSA-873951,SGT1:HSP90 binds inactive NLRP3,Reaction,Immune System
R-HSA-874087,SGT1 binds HSP90,Reaction,Immune System
R-HSA-877198,P2X7 mediates membrane pores that include pannexin-1,BlackBoxEvent,Immune System
R-HSA-877158,P2X7 forms oligomeric non-selective cation channels,Reaction,Immune System
R-HSA-877178,ATP binds to P2X7,Reaction,Immune System
R-HSA-1250272,TXNIP binds NLRP3,Reaction,Immune System
R-HSA-9603905,Expression of NLRP3 gene,BlackBoxEvent,Immune System
R-HSA-1250264,TXNIP binds reduced thioredoxin,Reaction,Immune System
R-HSA-1250253,TXNIP is released from oxidized thioredoxin,Reaction,Immune System
R-HSA-1250280,ROS oxidize thioredoxin,BlackBoxEvent,Immune System
R-HSA-877187,P2X7 mediates loss of intracellular K+,Reaction,Immune System
R-HSA-1306876,NLRP3 activation by small molecules,BlackBoxEvent,Immune System
R-HSA-449058,Interleukin-1 family are secreted,BlackBoxEvent,Immune System
R-HSA-448703,Interleukin-1 family precursors are cleaved by caspase-1,Reaction,Immune System
R-HSA-448629,IL33 binds IL1RL1,Reaction,Immune System
R-HSA-448603,IL33:IL1RL1 binds IL1RAP-1,Reaction,Immune System
R-HSA-446868,The Interleukin 1 receptor complex binds Tollip,Reaction,Immune System
R-HSA-446862,Hyperphosphorylated IRAK1 associates with TRAF6,Reaction,Immune System
R-HSA-446701,IRAK4-activated IRAK1 autophosphorylates,Reaction,Immune System
R-HSA-445752,"Interleukin-1 receptor type 1: Interleukin 1 binds Interleukin-1 receptor accessory protein, membrane associated isoform",Reaction,Immune System
R-HSA-446692,IRAK1 binds to MYD88 within the IL1R complex,Reaction,Immune System
R-HSA-446694,IRAK4 phosphorylates IRAK1,Reaction,Immune System
R-HSA-9681763,IL1R1 binds IL1R1 inhibitors,Reaction,Immune System
R-HSA-445753,"IL1B,Myr82K-Myr83K-IL1A:IL1R1",Reaction,Immune System
R-HSA-8948063,"hp-IRAK1:p-Pellino, IRAK4:p-Pellino bind UBE2N:UBE2V1",BlackBoxEvent,Immune System
R-HSA-446684,IRAK2 is phosphorylated downstream of IRAK4 following IL1 receptor activation,BlackBoxEvent,Immune System
R-HSA-209125,SCF Beta-TrCP complex binds to NFKB p50:p65: phospho IKBA complex,Reaction,Immune System
R-HSA-209087,IKBA is phosphorylated by Phospho IKKB kinase,Reaction,Immune System
R-HSA-8948066,K63polyUb-IRAK1 dissociates,BlackBoxEvent,Immune System
R-HSA-5609665,"CHUK, IKBKB and IKBKG form IKK complex",Reaction,Immune System
R-HSA-9630923,NFkB inhibitor binds NFkB complex,Reaction,Immune System
R-HSA-168140,Active IKK Complex phosphorylates NF-kB inhibitor ,Reaction,Immune System
R-HSA-933530,Activation of IKK by MEKK1,Reaction,Immune System
R-HSA-933528,Interaction of MEKK1 with TRAF6,Reaction,Immune System
R-HSA-918230,Recruitment of TRAF6/TRAF2 to IPS-1,Reaction,Immune System
R-HSA-168910,RIP1 facilitates IKK complex phosphorylation,Reaction,Immune System
R-HSA-168930,Viral dsRNA:TLR3:TRIF complex recruits RIP1,Reaction,Immune System
R-HSA-1810457,ZBP1(DAI) recruits RIP1 and RIP3,Reaction,Immune System
R-HSA-1591234,ZBP1 binds cytosolic DNA,Reaction,Immune System
R-HSA-168166,NFkB complex is transported from cytosol to nucleus,Reaction,Immune System
R-HSA-446130,Interleukin-1 receptor type 2 binds Interleukin 1,Reaction,Immune System
R-HSA-209063,Beta-TrCP ubiquitinates NFKB p50:p65:phospho IKBA complex,Reaction,Immune System
R-HSA-446648,IL1R1:IL1:IL1RAP:MYD88 homodimer binds IRAK4,Reaction,Immune System
R-HSA-446634,IRAK4 is activated by autophosphorylation,Reaction,Immune System
R-HSA-446894,TRAF6 binding leads to IRAK1:TRAF6 release,Reaction,Immune System
R-HSA-5607724,"26S proteasome processes K48PolyUb-K21,22-p-S32,36-IkBA:NF-kB complex to form NF-kB complex",BlackBoxEvent,Immune System
R-HSA-5607728,"beta-TRCP ubiquitinates IkB-alpha in p-S32,33-IkB-alpha:NF-kB complex",BlackBoxEvent,Immune System
R-HSA-5607725,"SCF-beta-TRCP ubiquitinates p-7S-p100:RELB in active NIK:p-176,S180-IKKA dimer:p-7S-p100:SCF-beta-TRCP",BlackBoxEvent,Immune System
R-HSA-2730894,NFKB1:RELA translocates from the cytosol to the nucleus,BlackBoxEvent,Immune System
R-HSA-209061,Ubiquitinated and phosphorylated IKBA binds to and is degraded by the proteasome complex,BlackBoxEvent,Immune System
R-HSA-727819,TAK1 phosphorylates MKK6,Reaction,Immune System
R-HSA-450827,"hp-IRAK1, hp-IRAK4 4 phosphorylate Pellino-1 and 2.",BlackBoxEvent,Immune System
R-HSA-446877,TRAF6 is K63 poly-ubiquitinated,Reaction,Immune System
R-HSA-450173,IRAK1 induces oligomerisation of TRAF6,Reaction,Immune System
R-HSA-451418,Pellino ubiquitinates IRAK1,Reaction,Immune System
R-HSA-8948018,UBE2N:UBE2V1 dissociates from hp-IRAK1:3xK63-polyUb-TRAF6:3xUBE2N:UBE2V1,BlackBoxEvent,Immune System
R-HSA-451561,NEMO binds polyubiquitinated IRAK1,Reaction,Immune System
R-HSA-8948015,hp-IRAK1:3xTRAF6 binds UBE2N:UBE2V1:K63-polyUb,Reaction,Immune System
R-HSA-450187,TAK1 is activated within the TAK1 complex,BlackBoxEvent,Immune System
R-HSA-507719,p62:MEKK3 binds to TRAF6,Reaction,Immune System
R-HSA-446870,Polyubiquitinated TRAF6 binds the TAK1 complex,Reaction,Immune System
R-HSA-450690,"hp-IRAK1,hp-IRAK4 bind Pellino1,2,3",Reaction,Immune System
R-HSA-450133,IL1R1:IL1:IL1RAP binds MYD88 homodimer,Reaction,Immune System
R-HSA-445757,IL1 receptor antagonist protein binds Interleukin 1 receptors,Reaction,Immune System
R-HSA-6790025,"Expression of BCL2, BCL2L1",BlackBoxEvent,Immune System
R-HSA-6786293,"p-Y705-STAT3 dimer, p-Y641-STAT6 dimer translocate to nucleus",BlackBoxEvent,Immune System
R-HSA-6786097,"p-Y705-STAT3, p-Y641-STAT6 dimerise",BlackBoxEvent,Immune System
R-HSA-6786072,"p-Y705-STAT3,p-Y641-STAT6 dissociate",BlackBoxEvent,Immune System
R-HSA-6786095,"JAK1 phosphorylates STAT3,STAT6",Reaction,Immune System
R-HSA-6786124,"STAT3,STAT6 bind p-Y-IL4R",Reaction,Immune System
R-HSA-6786096,"IL4R, IL2RG, JAK1 in IL4-bound IL4R1:JAK1 are phosphorylated",BlackBoxEvent,Immune System
R-HSA-6786058,JAK1 binds IL4R in IL4-bound IL4R1,BlackBoxEvent,Immune System
R-HSA-6786092,IL4:IL4R:JAK2 binds IL2RG:JAK3,Reaction,Immune System
R-HSA-6786101,IL4 binds IL4R:JAK2,Reaction,Immune System
R-HSA-6785898,IL4R binds JAK2,Reaction,Immune System
R-HSA-5432814,SFTPA/SFTPD binds TLR2:TLR1,Reaction,Immune System
R-HSA-8869694,oxPL binds CD14,Reaction,Immune System
R-HSA-6804100,HMGB1 binds LPS,Reaction,Immune System
R-HSA-5432852,SFTPA/SFTPD binds TLR4:LY96,Reaction,Immune System
R-HSA-8869683,oxPL binds LBP,Reaction,Immune System
R-HSA-6804099,HMGB1 binds LTP,Reaction,Immune System
R-HSA-8869667,oxLDL:CD36 binds TLR4:TLR6,Reaction,Immune System
R-HSA-2569057,RIP3 binds TRIF to mediate necroptosis,Reaction,Immune System
R-HSA-168921,TRIF:activated TLR3/TLR4 complex recruits RIP1,Reaction,Immune System
R-HSA-2562541,TLR4-induced ripoptosome assembly,Reaction,Immune System
R-HSA-2562564,Caspase-8 processing within TLR4 complex,Reaction,Immune System
R-HSA-5362500,TANK is ubiquitinated within TANK:K63polyUb-TRAF3:TRIF:activated TLR4,BlackBoxEvent,Immune System
R-HSA-2201338,TRAF3 binds TICAM1:activated TLR4 complex,Reaction,Immune System
R-HSA-2213017,Auto-ubiquitination of TRAF3,BlackBoxEvent,Immune System
R-HSA-936941,Recruitment of TBK1/IKK epsilon to K63-pUb-TANK:K63-pUb-TRAF3:TRIF:activated TLR4 followed by their phosphorylation,Reaction,Immune System
R-HSA-166271,IRF3/IRF7 recruitment to p-TBK1/p-IKK epsilon bound to the activated TLR4,Reaction,Immune System
R-HSA-5362486,TANK binds K63-poly-Ub-TRAF3:TICAM1:activated TLR4 ,Reaction,Immune System
R-HSA-177671,Dimerized phospho-IRF3/IRF7 is transported to the nucleus,Reaction,Immune System
R-HSA-166245,Phosphorylation of IRF-3/IRF7 and their release from the activated TLR complex ,Reaction,Immune System
R-HSA-168933,Dimerization of phosphorylated IRF3/IRF7,Reaction,Immune System
R-HSA-918229,Phosphorylation and release of IRF3/IRF7,Reaction,Immune System
R-HSA-918232,"Recruitment of IRF3,IRF7",Reaction,Immune System
R-HSA-918225,TBK1/IKK epsilon complex interacts with MAVS bound TRAF3,Reaction,Immune System
R-HSA-918227,Recruitment of TRAF3 to MAVS,Reaction,Immune System
R-HSA-168909,"viral dsRNA:IFIH1, viral dsRNA:K63polyUb-DDX58 bind MAVS",Reaction,Immune System
R-HSA-913725,viral dsRNA binds IFIH1:TKFC,Reaction,Immune System
R-HSA-918224,DDX58 is K63 polyubiquitinated,Reaction,Immune System
R-HSA-168935,viral dsRNA binds DDX58,Reaction,Immune System
R-HSA-1964482,RNA polymerase III transcribes microbial dsDNA to dsRNA,BlackBoxEvent,Immune System
R-HSA-975185,IRAK2 induces TRAF6 oligomerization initiated from endosomal compartments,Reaction,Immune System
R-HSA-975100,Dissociation of hp-IRAK1/or IRAK2:TRAF6-oligomer from the p-IRAK4 :oligo-Myd88:activated TLR7/8 or 9 complex,Reaction,Immune System
R-HSA-975111,TRAF6 binds to hp- IRAK1/or p-IRAK2:p-IRAK4:MyD88:activated TLR7/8 or 9  ,Reaction,Immune System
R-HSA-975160,Phosphorylation of IRAK2 bound to the activated IRAK4:MyD88 oligomer:activated TLR 7/8 or 9,Reaction,Immune System
R-HSA-975115,IRAK1/or IRAK2 binds to the activated IRAK4 :MyD88:activated TLR 7/8 or 9.,Reaction,Immune System
R-HSA-975170,IRAK4 autophosphorylation in the complex with MyD88:activated TLR 7/8 or 9,Reaction,Immune System
R-HSA-975156,IRAK4 binds to the activated TLR7/8 or 9 receptor:MyD88 complex ,Reaction,Immune System
R-HSA-975098,MyD88 oligomerization within the complex of activated TLR 7/8 or 9 : MyD88,Reaction,Immune System
R-HSA-975175,"MyD88 interacts with the activated TLR receptor 7, 8 or 9 ",Reaction,Immune System
R-HSA-187895,Engulfed CpG DNA binds to endosomal C-ter TLR9,Reaction,Immune System
R-HSA-1678920,TLR processing at low pH,Reaction,Immune System
R-HSA-1678927,UNC93B1 delivers endosomal full-length TLRs to endolysosome,BlackBoxEvent,Immune System
R-HSA-1678998,Endosomal TLRs pass through the Golgi,BlackBoxEvent,Immune System
R-HSA-1678921,Full-length TLR3/7/8/9 binds to UNC93B1,Reaction,Immune System
R-HSA-1678944,Folded full-length TLR7/8/9 dissociates from the GP96:CNPY3 complex ,Reaction,Immune System
R-HSA-1678923,TLR folding by chaperones GP96 and CNPY3,Reaction,Immune System
R-HSA-9691204,"TLR8 dimer binds TLR7, TLR8 ligands",Reaction,Immune System
R-HSA-167983,"C-ter TLR7 dimer binds TLR7, TLR8 ligands",Reaction,Immune System
R-HSA-975125,Multiple IRAK1 autophosphorylation steps within the complex pIRAK4:MyD88:activated TLR7/8 or 9,Reaction,Immune System
R-HSA-975134,Second phosphorylation of IRAK1 by IRAK4 bound to MyD88: activated TLR 7/8 or 9,Reaction,Immune System
R-HSA-975180,First phosphorylation of IRAK1 by IRAK4 bound to MyD88:activated TLR 7/8 or 9,Reaction,Immune System
R-HSA-975147,Auto ubiquitination of oligo-TRAF6 bound to p-IRAK2 at endosome membrane,BlackBoxEvent,Immune System
R-HSA-450358,Activated TRAF6 synthesizes unanchored polyubiquitin chains upon TLR stimulation ,Polymerisation,Immune System
R-HSA-937075,Phosphorylated TAK1 leaves activated TLR receptor complex,Reaction,Immune System
R-HSA-168440,Formation of Activated Protein 1 (AP-1) complex. ATF2/c-JUN heterodimer. ,Reaction,Immune System
R-HSA-450257,Nuclear export of human p38 MAPK mediated by its substrate MAPKAPK2 or 3,Reaction,Immune System
R-HSA-168915,K63-linked ubiquitination of RIP1 bound to the activated TLR complex,Reaction,Immune System
R-HSA-937029,IKBKG subunit of IKK complex binds polyubiquinated RIP1,Reaction,Immune System
R-HSA-2559568,SARM binds TICAM1:TRAM:TLR4:LY96:LPS:CD14,Reaction,Immune System
R-HSA-8940998,"IL36RN, IL1F10 bind IL1RL2",Reaction,Immune System
R-HSA-8848316,IL36 binds IL1RL2,Reaction,Immune System
R-HSA-8848314,IL36:IL1RL2 binds IL1RAP-1,Reaction,Immune System
R-HSA-9007901,IL1F10 binds IL1RL2,Reaction,Immune System
R-HSA-9008054,IL1F10 binds IL1RAPL1,Reaction,Immune System
R-HSA-9008043,MAPK8 phosphorylation,BlackBoxEvent,Immune System
R-HSA-9007882,IL1F10 is cleaved,BlackBoxEvent,Immune System
R-HSA-9008052,IL1F10(?-152) binds IL1RAPL1,Reaction,Immune System
R-HSA-9009072,STAT3 phosphorylation,BlackBoxEvent,Immune System
R-HSA-9008577,IL37:IL18R1 binds SIGIRR,Reaction,Immune System
R-HSA-8848335,IL37 binds  IL18R1,Reaction,Immune System
R-HSA-9008694,"IL37, IL37(?-218) translocates from cytosol to extracellular region",Reaction,Immune System
R-HSA-9012689,IL37(1-?) and IL37 (?-) dissocates from IL37(1-?):IL37(?-218):CASP1(120-197):CASP1(317-404),BlackBoxEvent,Immune System
R-HSA-9012556,IL37:2x(CASP1(120-197):CASP1(317-404)) cleaves IL37,BlackBoxEvent,Immune System
R-HSA-9012542,IL37 binds 2x(CASP1(120-197):CASP1(317-404)),BlackBoxEvent,Immune System
R-HSA-9008684,TBK1 phosphorylation,BlackBoxEvent,Immune System
R-HSA-9008587,"IL37, IL37(?-218) binds IL18BP",Reaction,Immune System
R-HSA-9008928,"IL37(?-218):p-S423,S425-SMAD3 translocates to the nucleus",BlackBoxEvent,Immune System
R-HSA-9009910,"IL37(?-218) binds p-S423,S425-SMAD3",Reaction,Immune System
R-HSA-9008696,IL37(?-218) translocates from the cytosol to the nucleus,BlackBoxEvent,Immune System
R-HSA-9008894,PTPNs gene transcription and translation,BlackBoxEvent,Immune System
R-HSA-9008692,IL37(?-218) binds SMAD3,Reaction,Immune System
R-HSA-8848370,IL18 binds IL18R1,Reaction,Immune System
R-HSA-6797293,"Expression of IL18, ALOX5",BlackBoxEvent,Immune System
R-HSA-8848395,IL18:IL18R1 binds IL18RAP,Reaction,Immune System
R-HSA-8848392,IL18BP binds IL18,Reaction,Immune System
R-HSA-2559456,TIRAP binds PIP2-rich regions in the plasma membrane,Reaction,Immune System
R-HSA-166869,TRAF6 binds MEKK1,Reaction,Immune System
R-HSA-937034,IRAK1 phosphorylates Pellino,Reaction,Immune System
R-HSA-937044,Pellino binds hp-IRAK1:TRAF6,Reaction,Immune System
R-HSA-937050,Pellino ubiquitinates hp-IRAK1,Reaction,Immune System
R-HSA-937032,NEMO subunit of IKK complex binds to activated IRAK1,Reaction,Immune System
R-HSA-937059,Phosphorylation of IRAK2 bound to the activated IRAK4:MyD88 oligomer:TIRAP:activated TLR complex,Reaction,Immune System
R-HSA-2262775,Dissociation of p-IRAK2:TRAF6 from the activated TLR:oligo-Myd88:TIRAP:p-IRAK4 complex,Reaction,Immune System
R-HSA-2262777,TRAF6 binds to p-IRAK2  ,Reaction,Immune System
R-HSA-1671691,PRLR-bound STAT5 is phosphorylated,Reaction,Immune System
R-HSA-1369080,PRLR binds STAT5,Reaction,Immune System
R-HSA-1364043,Tyrosine phosphorylation of PRLR,BlackBoxEvent,Immune System
R-HSA-982810,JAK2 phosphorylation,BlackBoxEvent,Immune System
R-HSA-982768,GH:GHR:JAK2 complex undergoes a conformational change,BlackBoxEvent,Immune System
R-HSA-982778,Growth hormone binds the growth hormone receptor,Reaction,Immune System
R-HSA-982775,Growth hormone receptor dimerizes,Reaction,Immune System
R-HSA-982792,Growth hormone receptor binds JAK2,Reaction,Immune System
R-HSA-1671687,PRLR activation,BlackBoxEvent,Immune System
R-HSA-976991,Prolactin receptor ligands bind the prolactin receptor,Reaction,Immune System
R-HSA-1364044,PRLR:JAK2 dimerizes,Reaction,Immune System
R-HSA-1302698,PRLR associates with JAK2,Reaction,Immune System
R-HSA-188002,Rab5-mediated recruitment of class III PI3K to TLR9,Reaction,Immune System
R-HSA-9607224,Active FLT3:GRB2:p-Y-GAB2 binds PIK3R1,Reaction,Immune System
R-HSA-9606622,GAB2 in Active FLT3:GRB2:GAB2 is phosphorylated,BlackBoxEvent,Immune System
R-HSA-9606624,Active FLT3:GRB2 binds GAB2,Reaction,Immune System
R-HSA-6787737,CSF3R binds CSF3 dimer,Reaction,Immune System
R-HSA-8981657,IL34 dimer binds PTPRZ1,Reaction,Immune System
R-HSA-449073,Caspase-3 cleaves pro-interleukin-16,Reaction,Immune System
R-HSA-449077,Interleukin-16 is secreted,BlackBoxEvent,Immune System
R-HSA-448632,IL34 dimerizes,Reaction,Immune System
R-HSA-9014074,TXLNA (IL14) binds syntaxin4,Reaction,Immune System
R-HSA-9009488,IL34 binds CSF1,Reaction,Immune System
R-HSA-449117,TXLNA (IL14) binds syntaxin1A,Reaction,Immune System
R-HSA-9014052,TXLNA (IL14) binds syntaxin3,Reaction,Immune System
R-HSA-6787820,IL34 dimer binds CSF1R,Reaction,Immune System
R-HSA-9009485,IL34:CSF1 binds CSF1R,BlackBoxEvent,Immune System
R-HSA-8854738,CSF3 dimer:CSFR binds CSFR,Reaction,Immune System
R-HSA-449087,CD4 binds Interleukin-16,Reaction,Immune System
R-HSA-448591,Interleukin-32 binds proteinase-3,Reaction,Immune System
R-HSA-448661,IFNL1 binds IL10RB:TYK2 and IFNLR1:JAK1,Reaction,Immune System
R-HSA-8987120,JAK1 binds IFNLR1,Reaction,Immune System
R-HSA-8987223,IL10RB binds TYK2,Reaction,Immune System
R-HSA-9009554,IL34 dimer:SDC1 binds CSF1R,BlackBoxEvent,Immune System
R-HSA-9009558,IL34 dimer binds SDC1,Reaction,Immune System
R-HSA-419645,Dimerization of LIMK1 by Hsp90,Reaction,Immune System
R-HSA-419644,Transphosphorylation of pLIMK1,BlackBoxEvent,Immune System
R-HSA-399950,Phosphorylation of cofilin by LIMK-1,Reaction,Immune System
R-HSA-452102,p-STAT5 dimerizes,Reaction,Immune System
R-HSA-919404,Phosphorylated STAT5 is released,Reaction,Immune System
R-HSA-452097,Recruited STAT5 is phosphorylated,Reaction,Immune System
R-HSA-452108,"Phosphorylation of IL2RB Y338, Y392 or Y510 enables STAT recruitment",Reaction,Immune System
R-HSA-6785165,"p-STAT5A, p-STAT5B dissociate from IL7:p-Y449-IL7R:JAK1:IL2RG:p-JAK3:p-STAT5A,p-STAT5B",Reaction,Immune System
R-HSA-1295540,"IL7:p-Y449-IL7R:JAK1:IL2RG:p-JAK3:STAT5A,STAT5B phosphorylates STAT5",BlackBoxEvent,Immune System
R-HSA-9025969,IL7:p-Y449-IL7R:JAK1:IL2RG:p-JAK3 binds STAT5,BlackBoxEvent,Immune System
R-HSA-1295519,IL7R is phosphorylated on Y499,Reaction,Immune System
R-HSA-8983063,JAK3 in IL7:p-Y449-IL7R:JAK1:IL2RG:JAK3 is phosphorylated,BlackBoxEvent,Immune System
R-HSA-449958,IL7:IL7R:JAK1 binds IL2RG:JAK3,Reaction,Immune System
R-HSA-449978,IL7 binds IL7R:JAK1,Reaction,Immune System
R-HSA-1264832,JAK1 binds IL7R,Reaction,Immune System
R-HSA-921155,p-STAT5 dissociates from the receptor complex,Reaction,Immune System
R-HSA-879909,Activation of STAT5a/b by JAK2,Reaction,Immune System
R-HSA-879930,STAT5 is recruited by JAK2,Reaction,Immune System
R-HSA-879910,"JAK2 is phosphorylated, activated",Reaction,Immune System
R-HSA-508292,SYK binds IL2RB,Reaction,Immune System
R-HSA-508451,PTK2B is phosphorylated,BlackBoxEvent,Immune System
R-HSA-508513,PTK2B binds JAK3,Reaction,Immune System
R-HSA-507937,STAT5 dimers translocate to the nucleus,BlackBoxEvent,Immune System
R-HSA-9679028,JAK3 binds JAK3 inhibitors,Reaction,Immune System
R-HSA-508282,SYK is a substrate for JAK1,Reaction,Immune System
R-HSA-8983384,"IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3:p-Y-SHC1:GRB2 binds SOS1,SOS2",BlackBoxEvent,Immune System
R-HSA-8983394,IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3:p-Y-SHC1 binds GRB2,Reaction,Immune System
R-HSA-8983309,IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3 phosphorylates SHC1,BlackBoxEvent,Immune System
R-HSA-8983299,IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3 binds SHC1,BlackBoxEvent,Immune System
R-HSA-9009700,IL2RB and IL2RG are phosphorylated,BlackBoxEvent,Immune System
R-HSA-8983300,IL15RA:IL15:IL2RB:JAK1:IL2RG:JAK3 phosphorylates JAK3 and JAK1,BlackBoxEvent,Immune System
R-HSA-449115,IL15:IL15RA binds IL2RB:JAK1 and IL2RG:JAK3,BlackBoxEvent,Immune System
R-HSA-8983307,IL15 binds IL15RA,Reaction,Immune System
R-HSA-8983373,p-Y-STAT3 binds p-STAT5,BlackBoxEvent,Immune System
R-HSA-8983374,p-Y-STAT3 and p-STAT5 dissociates from IL15:IL15RA:IL2RB:p-JAK1:IL2RG:p-JAK3:p-Y-STAT3:p-STAT5,BlackBoxEvent,Immune System
R-HSA-8983371,IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3 phosphorylates STAT3 and STAT5,BlackBoxEvent,Immune System
R-HSA-8983378,IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3 binds STAT3 and STAT5,BlackBoxEvent,Immune System
R-HSA-8983379,p-Y-STAT3:p-STAT5 translocates to the nucleus,BlackBoxEvent,Immune System
R-HSA-8983425,IL15:IL15RA:IL2RB:JAK1:IL2RG:p-JAK3:p-Y-SHC1:GRB2 binds GAB2,BlackBoxEvent,Immune System
R-HSA-8983424,IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3:p-Y-SHC1:GRB2:GAB2 phosphorylates GAB2,BlackBoxEvent,Immune System
R-HSA-8983298,IL15 binds IL2RB:JAK1 and IL2RG:JAK3,BlackBoxEvent,Immune System
R-HSA-8983335,IL15:IL15RA:IL2RB:JAK1:IL2RG:JAK3 translocates from the plasma membrane to the endosome,BlackBoxEvent,Immune System
R-HSA-389348,Activation of Rac1 by pVav1,Reaction,Immune System
R-HSA-389354,Activation of Vav1,Reaction,Immune System
R-HSA-389352,Translocation of Vav1 to CD28,Reaction,Immune System
R-HSA-388814,Grb2 binds CD28,Reaction,Immune System
R-HSA-389350,Activation of Cdc42 by pVav1,Reaction,Immune System
R-HSA-2029456,RAC1 and CDC42 activate PAK1,Reaction,Immune System
R-HSA-2029445,An unknown GEF exchanges GTP for GDP on CDC42:GDP,BlackBoxEvent,Immune System
R-HSA-2029460,PAK1 phosphorylates LIMK1,Reaction,Immune System
R-HSA-2029454,Autophosphorylation of PAK1,Reaction,Immune System
R-HSA-2029471,Hydrolysis of PC to PA by PLD,Reaction,Immune System
R-HSA-2029475,Production of AA by iPLA2 upon FCGR activation,BlackBoxEvent,Immune System
R-HSA-2029468,Conversion of PA into DAG by PAP-1,Reaction,Immune System
R-HSA-2029465,RAC1:GTP and PIP3 bind WAVE Regulatory Complex (WRC),Reaction,Immune System
R-HSA-2197697,Recruitment of CRKII:DOCK180:ELMO complex to FCGR,Reaction,Immune System
R-HSA-2130194,ABL phosphorylates WAVEs,Reaction,Immune System
R-HSA-2029469,p-ERK phosphorylates WAVEs and ABI,Reaction,Immune System
R-HSA-2029466,"(WASPs, WAVE):G-actin:ARP2/3 binds F-actin",Reaction,Immune System
R-HSA-442592,WASPs or WAVEs activate the ARP2/3 complex,Reaction,Immune System
R-HSA-430180,NCK recruits WASP,Reaction,Immune System
R-HSA-2197698,"Src phosphorylate WASP,N-WASP",Reaction,Immune System
R-HSA-2197691,"WIP binds WASP,N-WASP, activating them",Reaction,Immune System
R-HSA-442586,Activation of WASP and N-WASP by CDC42,Reaction,Immune System
R-HSA-2197690,Detachment of WASP/WAVE,Reaction,Immune System
R-HSA-2029473,Branching and elongation of mother and daughter filaments,BlackBoxEvent,Immune System
R-HSA-2029467,Activation of RAC1 by CRKII:DOCK180:ELMO,Reaction,Immune System
R-HSA-1861595,Extension of pseudopodia by myosin-X in a PI3K dependent manner,Reaction,Immune System
R-HSA-2029458,Recruitment of VAV1 to p-6Y-SYK,Reaction,Immune System
R-HSA-2029449,Phosphorylation of SYK by Src kinases,Reaction,Immune System
R-HSA-2029453,Phosphorylation of VAV,Reaction,Immune System
R-HSA-2029451,Activation of RAC1 by VAV,Reaction,Immune System
R-HSA-2029476,Role of myosins in phagosome formation,BlackBoxEvent,Immune System
R-HSA-1222407,Superoxide and nitric oxide react to peroxynitrite,Reaction,Immune System
R-HSA-418436,Nitric Oxide Synthase (NOS) produces Nitric Oxide (NO),Reaction,Immune System
R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
R-HSA-1015699,ISGF3 binds the ISRE promoter elements in IFN-stimulated genes,Reaction,Immune System
R-HSA-909721,Translocation of ISGF3 complex to nucleus,Reaction,Immune System
R-HSA-9710963,p-STAT1dimer:KPNA1 binds KPNB1,Reaction,Immune System
R-HSA-9710959,p-STAT1 dimer binds KPNA1,Reaction,Immune System
R-HSA-909725,Interaction of IRF9 with p-STAT2:p-STAT1,Reaction,Immune System
R-HSA-909722,Release of p-STAT2:p-STAT1 dimer,Reaction,Immune System
R-HSA-909726,Phosphorylation of STAT1,Reaction,Immune System
R-HSA-909732,Phosphorylation of STAT2,Reaction,Immune System
R-HSA-909719,Recruitment of STAT2 to p-IFNAR1,Reaction,Immune System
R-HSA-909730,Phosphorylation of INFAR1 by TYK2,Reaction,Immune System
R-HSA-909729,Activation of JAK kinases,Reaction,Immune System
R-HSA-909724,Recruitment of IFNAR1,Reaction,Immune System
R-HSA-909720,IFN alpha/beta binds to IFNAR2,Reaction,Immune System
R-HSA-909718,Formation of p-STAT1 homodimer,Reaction,Immune System
R-HSA-1112690,PTPN11 binds CBL,Reaction,Immune System
R-HSA-1112708,PTPN11 binds p-Y759-IL6ST,Reaction,Immune System
R-HSA-1112510,IL6ST is tyrosine phosphorylated,BlackBoxEvent,Immune System
R-HSA-1112514,JAK activation,BlackBoxEvent,Immune System
R-HSA-1067659,Assembly of hexameric IL-6 receptor,Reaction,Immune System
